datetime,open,high,low,close
2026-05-23 00:55:00,4503.01918,4504.26202,4501.79541,4501.90761
2026-05-23 01:00:00,4502.05386,4503.43861,4500.61104,4503.09256
2026-05-23 01:05:00,4502.1718,4510.19304,4499.31269,4509.30704
2026-05-23 01:10:00,4508.47007,4511.21431,4508.47007,4511.18916
2026-05-23 01:15:00,4511.11424,4514.69633,4510.59991,4514.00139
2026-05-23 01:20:00,4512.30619,4515.48812,4512.30619,4514.35382
2026-05-23 01:25:00,4514.4228,4518.20527,4514.4228,4517.96181
2026-05-23 01:30:00,4517.37465,4521.61331,4517.37465,4519.98374
2026-05-23 01:35:00,4520.51534,4521.00005,4519.36548,4520.44834
2026-05-23 01:40:00,4520.413,4521.07896,4518.14033,4518.59397
2026-05-23 01:45:00,4518.73443,4519.36072,4515.69203,4515.97477
2026-05-23 01:50:00,4516.47573,4517.7321,4515.28424,4517.67614
2026-05-23 01:55:00,4517.53777,4521.18379,4516.91585,4521.0387
2026-05-23 02:00:00,4520.61321,4521.61331,4517.7321,4519.39311
2026-05-23 02:05:00,4519.4554,4519.77976,4517.99582,4519.37401
2026-05-23 02:10:00,4519.51078,4519.9783,4517.32394,4519.4569
2026-05-23 02:15:00,4519.36325,4520.39141,4517.31098,4518.18508
2026-05-23 02:20:00,4518.2561,4520.23722,4516.53075,4519.7983
2026-05-23 02:25:00,4519.08226,4524.27272,4519.08226,4523.7625
2026-05-23 02:30:00,4523.64443,4526.75807,4522.42318,4522.99111
2026-05-23 02:35:00,4523.74258,4523.74258,4519.78102,4520.06071
2026-05-23 02:40:00,4520.59254,4520.59254,4515.08037,4515.35567
2026-05-23 02:45:00,4515.82452,4518.30089,4514.80637,4515.53028
2026-05-23 02:50:00,4516.52852,4516.52852,4512.34118,4514.14834
2026-05-23 02:55:00,4513.86951,4514.76041,4513.45008,4514.52883
2026-05-23 03:00:00,4513.85543,4518.79853,4513.597,4517.73278
2026-05-23 03:05:00,4517.94436,4520.05436,4517.94436,4519.93698
2026-05-23 03:10:00,4519.76415,4521.29782,4519.56974,4520.01613
2026-05-23 03:15:00,4519.93071,4519.9783,4518.63276,4518.91886
2026-05-23 03:20:00,4519.34822,4520.05891,4514.0613,4514.2581
2026-05-23 03:25:00,4514.58436,4520.59129,4514.0613,4520.38082
2026-05-23 03:30:00,4519.95443,4528.57531,4519.14304,4522.39342
2026-05-23 03:35:00,4522.85349,4523.39683,4519.77401,4522.88488
2026-05-23 03:40:00,4522.20198,4524.06804,4522.20198,4523.99025
2026-05-23 03:45:00,4523.83301,4523.83301,4521.51707,4522.14129
2026-05-23 03:50:00,4521.89135,4521.89135,4520.14226,4520.35597
2026-05-23 03:55:00,4520.74499,4521.31115,4519.29106,4519.70775
2026-05-23 04:00:00,4520.43683,4520.43683,4515.60122,4517.98191
2026-05-23 04:05:00,4517.29111,4517.75758,4514.46887,4516.06186
2026-05-23 04:10:00,4515.93826,4515.93826,4513.43801,4513.597
2026-05-23 04:15:00,4513.85025,4515.69203,4513.42201,4515.60829
2026-05-23 04:20:00,4515.38604,4517.52801,4515.07281,4517.40081
2026-05-23 04:25:00,4517.12249,4517.52801,4515.86079,4516.21323
2026-05-23 04:30:00,4516.55577,4516.55577,4514.26508,4516.07432
2026-05-23 04:35:00,4515.71263,4516.84845,4514.87652,4515.00124
2026-05-23 04:40:00,4515.39154,4518.54864,4515.39154,4516.08548
2026-05-23 04:45:00,4515.94299,4515.95573,4513.6538,4513.71547
2026-05-23 04:50:00,4513.81957,4515.18333,4513.32638,4514.70413
2026-05-23 04:55:00,4513.89744,4515.89595,4513.6538,4514.42383
2026-05-23 05:00:00,4514.00194,4516.19025,4511.15363,4511.65732
2026-05-23 05:05:00,4512.71931,4512.71931,4508.97286,4509.11863
2026-05-23 05:10:00,4509.38099,4509.60238,4507.88739,4508.92686
2026-05-23 05:15:00,4508.83178,4508.83178,4507.55015,4508.53716
2026-05-23 05:20:00,4508.33173,4508.76956,4507.55015,4507.94368
2026-05-23 05:25:00,4507.83811,4508.21499,4507.11205,4507.45635
2026-05-23 05:30:00,4508.09654,4508.09654,4504.70742,4506.41315
2026-05-23 05:35:00,4506.07544,4509.37951,4505.33778,4508.50707
2026-05-23 05:40:00,4508.59038,4510.59991,4508.59038,4509.47561
2026-05-23 05:45:00,4509.45622,4510.77979,4507.34698,4507.52567
2026-05-23 05:50:00,4507.82492,4507.97466,4507.34698,4507.47924
2026-05-23 05:55:00,4507.65685,4509.44185,4506.95736,4509.28039
2026-05-23 06:00:00,4508.9796,4509.33146,4505.51926,4506.34931
2026-05-23 06:05:00,4506.26001,4506.5291,4505.72227,4506.31932
2026-05-23 06:10:00,4506.01998,4507.87309,4505.88556,4507.72846
2026-05-23 06:15:00,4507.26909,4509.01518,4507.26909,4508.81602
2026-05-23 06:20:00,4508.20894,4510.19304,4508.20894,4509.75654
2026-05-23 06:25:00,4509.2626,4510.38285,4508.76956,4510.17027
2026-05-23 06:30:00,4509.80522,4510.39646,4506.73757,4506.88667
2026-05-23 06:35:00,4506.9535,4507.95654,4506.30778,4506.69499
2026-05-23 06:40:00,4506.72356,4507.02353,4504.98371,4505.83169
2026-05-23 06:45:00,4505.6296,4508.36301,4504.70742,4508.13475
2026-05-23 06:50:00,4507.67917,4507.67917,4505.31627,4505.63109
2026-05-23 06:55:00,4505.6912,4509.06473,4505.6912,4508.84161
2026-05-23 07:00:00,4508.183,4509.37951,4505.51926,4505.59629
2026-05-23 07:05:00,4505.68026,4505.81978,4505.64501,4505.77953
2026-05-23 07:10:00,4505.68444,4505.89561,4505.61281,4505.68782
2026-05-23 07:15:00,4505.68572,4505.83172,4505.64081,4505.64081
2026-05-23 07:20:00,4505.66745,4505.8686,4505.6015,4505.73331
2026-05-23 07:25:00,4505.66822,4505.81452,4505.65485,4505.78105
2026-05-23 07:30:00,4505.68883,4506.41397,4504.3859,4504.57189
2026-05-23 07:35:00,4504.99973,4505.81587,4504.99973,4505.75214
2026-05-23 07:40:00,4505.65799,4505.87209,4505.61641,4505.749
2026-05-23 07:45:00,4505.67878,4505.82039,4505.65329,4505.76129
2026-05-23 07:50:00,4505.67185,4505.87419,4505.61152,4505.66522
